YEAR, ISSUE, TIMESTAMP, STORY, OUTLINE, 
1945,9,20,1,Советские войска в немецком городе Штаргарде.,
1945,9,100,2,Американские войска вступают в г. Страсбург.,
1945,9,170,3,Герой Советского Союза В. Гризодубова принимает в Москве советских летчиц.,
1945,9,250,4,"Рабочие оборонных заводов собирают моторы для танков, двигатели для самолетов ""ИЛ"".",
1945,9,320,5,Шахтеры добывают марганец на руднике Северного Урала.,
1945,9,400,6,Колхозники артели Янги-Турмыш (УзССР) собирают хлопок.,
1945,9,430,7,Восстановлен экспериментальный керамико-художественный заод в Киеве.,
1945,9,480,8,В Малом театре СССР проходит чествование в связи с 75-летием народной артистки СССР Е. Д. Турчаниновой.,
1945,11,20,1,Траурные флаги на зданиях в Москве по случаю смерти президента США Ф. Д. Рузвельта.,
1945,11,90,2,Кадры хроники из жизни Ф. Д. Рузвельта.,
1945,11,185,3,Советские войска вступают в немецкий город Ландсберг.,
1945,11,265,4,"Выпуск курсов младших лейтенантов под Штеттином, Германия.",
1945,11,315,5,Горные пейзажи в Татрах (Чехословакия). Наступление советских войск в Татрах.,
1945,11,450,6,"Советские морские суда стоят под погрузкой в румынском порту Констанца перед отправкой в СССР тракторов и комбайнов, вывезенных из Одесской области в период оккупации.",
1945,11,530,7,Подготовка сельскохозяйственного инвентаря перед севом в колхозе им. Сталина Херсонской области.,
1945,11,570,8,Пуск электростанции и ТЭЦ на Урале.,
1945,11,620,9,Празднование годовщины освобождения от немецко-фашистских оккупантов в г. Черновцы (Северная Буковина).,
1945,24,20,1," Митинг на заводе ""Красный пролетарий"" по поводу объявления СССР войны Японии. ",
1945,24,127,2," Представители советского и союзных дипломатических корпусов встречают на московском аэродроме руководителей Китая, прилетевших в СССР. ",
1945,24,233,3, Морские и сухопутные войска США во время атак Японии. ,
1945,24,340,4, Альпинистка О. Фирсова снимает защитное покрывало со шпиля Адмиралтейства. ,
1945,24,447,5," Пассажиры поднимаются на борт теплохода ""Украина"" в Одесском порту. ",
1945,24,554,6, Парад войск Албанской армии в г. Тиране.,
1946,45,20,1,"Парижская мирная конференция. На заседании присутствуют: В. М. Молотов, А. Я. Вышинский, Бирнс - глава делегации США, Эттли - глава английской делегации, послы СССР. Выступает (синхронно) В. М. Молотов.",
1946,45,370,2,"Празднование Дня Военно-морского флота в различных районах СССР. Парады кораблей Балтийского флота принимает адмирал Трибуц, Черноморского флота адмирал Октябрьский.",
1947,42,20,1, Советские государственные деятели встречают членов правительственной делегации Албании на Московском аэродроме. ,
1947,42,125,2," Колхозники Дубенского района Мордовии ремонтируют дорогу; колхоза им. Ворошилова (Казахстан) - убирают хлеб комбайнами, грузят мешки с хлебом на верблюдов. ",
1947,42,283,3," г. Мариуполь. Работа металлургического завода ""Азовсталь"". ",
1947,42,440,4, Рабочие Горьковского речного порта ведут погрузку тяжелых грузов. ,
1947,42,545,5," Виды Москвы; пассажиры у пригородного поезда на одном из вокзалов города, у парохода в Химкинском порту; отдыхающие в подмосковном доме отдыха; соревнования пловцов на водном стадионе ""Динамо"".",
1947,50,20,1," Улицы, здания, рабочие городских коммунальных служб в преддверии празднования 800-летия Москвы. ",
1947,50,82,2," Москва. Автор проекта памятника Ю. Долгорукому, скульптор С. М. Орлов рассматривает эскизы в мастерской. ",
1947,50,176,3," Отгрузка хлеба государству в колхозе ""Красный Пахарь"" Луховицкого района Московской области. ",
